"","geneid","M_1029_T1_Negative","M_1029_T2_Negative","M_1029_T1_Positive","M_1029_T2_Positive"
"21511","Gm14346","0","0","0","0"
"21512","Gm14345","0","0","0","0"
"21513","Gm14351","0","0","0","0"
"21514","Gm3750","0","0","0","0"
"21515","Gm14351","0","0","0","0"
"21516","Gm14346","0","0","0","0"
"21517","Gm14345","0","0","0","0"
"21518","Gm14346","0","0","0","0"
"21519","Gm14345","0","0","0","0"
"21520","Gm14351","0","0","0","0"
"21521","4930408F14Rik","0","0","0","0"
"21522","Gm14346","0","0","0","0"
"21523","Gm14351","0","0","0","0"
"21524","Gm3750","0","0","0","0"
"21525","Gm14347","0","0","0","0"
"21526","Gm10922","0","0","0","0"
"21527","Gm10921","0","0","0","0"
"21528","Gm3750","0","0","0","0"
"21529","Mycs","0","0","0","0"
"21530","Gm14374","0","0","0","0"
"21531","Nudt11","0","0","0","0"
"21532","AU022751","0","0","0","0"
"21533","Nudt10","12","5","0","10"
"21534","Bmp15","0","0","0","0"
"21535","Shroom4","80","40","40","53"
"21536","Dgkk","0","3","0","0"
"21537","Ccnb3","0","0","0","5"
"21538","Akap4","0","0","0","0"
"21539","Clcn5","297","381","210","541"
"21540","Mir500","0","0","0","0"
"21541","Mir501","0","0","0","0"
"21542","Mir362","0","0","0","0"
"21543","Mir188","0","0","0","0"
"21544","Mir532","0","0","0","0"
"21545","Usp27x","58","46","51","159"
"21546","LOC100270707","3","20","0","26"
"21547","2010204K13Rik","9","3","10","21"
"21548","Ppp1r3f","104","63","70","126"
"21549","4930524L23Rik","23","42","10","61"
"21550","Foxp3","181","282","134","223"
"21551","Ccdc22","546","735","488","967"
"21552","Cacna1f","30","40","25","53"
"21553","Syp","28","52","60","54"
"21554","Prickle3","372","436","450","642"
"21555","Plp2","247","342","298","468"
"21556","Magix","42","10","28","35"
"21557","Gpkow","706","699","468","949"
"21558","Wdr45","360","461","254","487"
"21559","Praf2","116","162","177","194"
"21560","Ccdc120","5","11","5","26"
"21561","Mir684-1","0","0","0","0"
"21562","Tcfe3","1815","2043","1658","3412"
"21563","Gripap1","1518","1747","1384","2932"
"21564","Kcnd1","89","100","28","48"
"21565","Otud5","2659","2679","2308","4328"
"21566","Pim2","98","178","113","220"
"21567","Slc35a2","359","412","317","559"
"21568","Pqbp1","622","544","409","738"
"21569","Timm17b","317","322","330","606"
"21570","Pcsk1n","0","0","0","0"
"21571","Eras","0","0","0","0"
"21572","Hdac6","520","563","498","711"
"21573","Gata1","0","0","0","7"
"21574","Glod5","38","16","13","7"
"21575","Suv39h1","547","528","367","861"
"21576","Was","2322","2690","1958","4046"
"21577","Gm6787","4","0","0","0"
"21578","Wdr13","1415","1647","1009","2388"
"21579","Rbm3","2780","3112","1993","3939"
"21580","2900002K06Rik","69","72","74","34"
"21581","Tbc1d25","239","304","154","451"
"21582","Ebp","746","731","605","865"
"21583","Porcn","78","105","141","215"
