"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000033671.18","Cep350",413,648,351,1358,2494,648,-1.30370593974335,0.586539340591141,0.558852644976306,1
"ENSMUSG00000033676.13","Gabrb3",10,3,3,0,0,4,-0.165368755671631,5.3609154869445,0.558948049953672,1
"ENSMUSG00000033684.14","Qsox1",69,79.999,36,204,324,147.001,1.74445412036334,0.00125787976173108,0.559047061242377,1
"ENSMUSG00000033685.13","Ucp2",1446,2055.001,1257,4569,10418.001,2129.002,-1.23834697702498,1.16913986780299,0.5590770465132,1
"ENSMUSG00000033688.10","1300017J02Rik",6,2,1,0,9,5,0.163325423723351,5.8033934102354,0.559243715113943,1
"ENSMUSG00000033697.16","Arhgap39",597,915,401.001,2461,4523,1250.001,0.178474009184343,5.22157180560951,0.559355808156688,1
"ENSMUSG00000033701.13","Acbd6",67,69,24,248.999,312.001,91.999,-0.465434499567287,2.81628187135242,0.559368248280702,1
"ENSMUSG00000033703.9","Fcsk",79,71,19,284,342,136,-1.57048647097548,0.250202365265075,0.559382612457514,1
"ENSMUSG00000033705.17","Stard9",1163,1498.001,1056.001,3078.999,7973,2057.999,-0.143290316739895,6.06025445289424,0.559385007686551,1
"ENSMUSG00000033706.13","Smyd5",49,112,41,233,579,96,-0.225763209343017,4.35703528540763,0.559398188116069,1
"ENSMUSG00000033707.9","Lrrc24",11,17,16,24,60,4,0.134241904263996,6.95487494595241,0.559422224784164,1
"ENSMUSG00000033712.6","Ccar2",151,212,68,573,1063,234,0.767884251937398,1.85350380172222,0.559501276713181,1
"ENSMUSG00000033713.12","Foxn3",721,1011,343,1912,4394,918,-0.204221533267863,4.82064114633227,0.559535211977876,1
"ENSMUSG00000033717.6","Adra2a",9,11,0,116,176,37,0.18903527064991,5.42305579331418,0.559580520344145,1
"ENSMUSG00000033720.12","Sfxn5",14,40,19,71,88,45,0.161715457255089,5.662356164668,0.559655805911328,1
