"","geneid_symbol","CTX_14A2","CTX_14A4","CTX_14A5","CTX_14L1","CTX_14L2","CTX_14L3","CTX_3A2","CTX_3A3","CTX_3A4","CTX_3L2","CTX_3L3","CTX_Naive1","CTX_Naive2","CTX_Naive3"
"ENSMUSG00000003778.14","Brd8",38.586558,32.018767,34.509259,35.18315,33.245266,31.036058,33.964839,37.202838,50.335876,36.31281,32.901563,49.326303,43.408332,24.925489
"ENSMUSG00000003779.16","Kif20a",1.437442,1.251852,2.132585,1.58597,1.964547,1.42547,2.351388,2.630186,2.774597,1.977187,1.972317,1.602339,2.494672,2.044031
"ENSMUSG00000003808.18","Farsa",49.677288,37.920906,39.781459,46.556939,45.790941,38.206496,26.209925,45.014091,39.115749,37.330415,26.519346,38.557494,52.291499,37.870709
"ENSMUSG00000003809.14","Gcdh",13.284865,7.495711,9.905872,9.000125,10.344554,10.012128,9.82392,13.574855,12.8561,9.789062,9.396189,23.085018,20.616521,11.204282
"ENSMUSG00000003810.13","Mast2",32.697258,24.871936,37.546863,19.864227,23.686258,24.151595,24.426941,19.616835,25.841464,23.403642,18.857111,31.495754,22.592939,27.818872
"ENSMUSG00000003812.13","Dnase2a",143.041542,136.548771,106.970031,166.49151,91.942701,145.773799,143.416881,175.297958,163.602015,169.933645,153.502872,177.489532,171.729622,150.015307
"ENSMUSG00000003813.15","Rad23a",74.578774,143.54086,132.985857,70.303592,77.487645,135.261334,48.610268,52.416988,74.886474,106.696864,104.841523,115.307587,57.076749,57.437165
"ENSMUSG00000003814.8","Calr",1247.868442,1554.771238,1361.867047,1298.840299,1346.690295,1313.086764,957.503247,949.276258,1605.571195,1418.744453,1283.001058,1600.087774,1013.705548,1262.652506
"ENSMUSG00000003824.12","Syce2",1.932835,3.934662,4.966143,7.066219,11.347792,3.348121,3.125115,6.575285,3.4534,4.734536,13.019264,4.514905,6.348169,2.951141
"ENSMUSG00000003847.16","Nfat5",34.451694,119.691813,52.592721,22.84811,64.267559,57.94285,89.312194,53.484579,46.40658,56.190006,51.19429,55.736285,54.512768,53.530488
"ENSMUSG00000003848.14","Nob1",30.508874,20.521399,14.878384,23.73281,19.510549,17.082498,15.062942,25.176248,19.133483,21.720576,19.566806,21.200347,34.273078,13.558645
"ENSMUSG00000003849.8","Nqo1",0.27796,0.100108,0.869053,0,0,0.328489,0.468128,0.34267,0.133783,0,0.497216,0,0,1.940784
"ENSMUSG00000003863.18","Ppfia3",2.197689,2.455025,1.455972,1.178668,1.845962,0.882697,1.057148,0.698738,1.164613,1.695193,3.251284,3.652549,1.143598,1.004683
"ENSMUSG00000003865.16","Gys1",9.216403,6.062639,11.185846,8.172096,7.456763,8.37627,14.784429,14.926606,12.594855,12.092527,10.817446,10.732657,12.522979,5.104253
"ENSMUSG00000003868.14","Ruvbl2",43.968301,33.863292,26.569634,45.032113,28.972061,32.641169,28.688634,40.424408,35.640801,36.284619,27.611429,38.617556,37.032275,25.813393
"ENSMUSG00000003872.9","Lin7b",9.621909,3.821065,3.23128,0,0,8.751535,2.289065,3.72572,1.959813,3.213698,4.238752,0,1.952723,0
"ENSMUSG00000003873.11","Bax",145.869325,97.231437,122.942919,129.358895,81.974232,106.432138,77.295238,106.422249,101.106191,83.298526,63.088561,107.988183,140.276917,74.649291
"ENSMUSG00000003882.5","Il7r",19.39528,13.507874,7.383599,14.943378,15.064054,11.9921,12.209582,17.707602,17.268805,7.063689,16.978681,11.727676,24.768684,9.29806
"ENSMUSG00000003923.14","Tfam",15.29841,21.768176,13.282102,33.988515,10.677285,22.247034,14.604743,22.603088,22.741479,24.807245,33.921367,7.019448,41.800867,26.243374
"ENSMUSG00000003929.11","Zfp81",6.182848,4.696734,4.58397,6.293707,3.617279,2.695678,6.454345,8.315133,8.132128,6.037359,3.423775,4.807572,10.079404,2.630042
"ENSMUSG00000003934.5","Efnb3",1.213005,1.323575,2.282972,0,0,2.260708,0.144246,0.313814,1.279686,0.707568,0.573126,0.559465,1.118883,0.594241
"ENSMUSG00000003948.17","Mmd",9.532788,6.493197,9.477505,12.972796,13.73147,12.133948,14.304684,15.952429,13.772739,15.737226,8.82602,16.128701,14.792864,9.20809
"ENSMUSG00000003949.16","Hlf",5.84906,9.89934,5.561918,5.609052,4.779653,7.186858,7.477093,14.296805,8.125611,11.292518,4.652456,3.175421,7.459652,6.637807
"ENSMUSG00000003955.8","Fam162a",23.937408,14.141649,17.393049,35.730035,15.106388,20.521219,18.42204,18.350961,13.102805,15.762928,29.294754,18.523066,4.713053,26.077771
"ENSMUSG00000003970.9","Rpl8",886.722973,814.140991,690.458796,701.468465,651.046626,691.161845,527.848972,602.079262,601.574854,646.891306,769.165037,681.430097,622.479712,764.738444
"ENSMUSG00000003974.6","Grm3",0.400871,0.38222,0.727291,1.549011,1.434752,0.788657,0.377295,0,1.403446,0.987364,1.679147,0.585654,2.461241,0
"ENSMUSG00000003992.15","Ssbp2",31.997634,24.666072,38.191143,29.525567,20.679894,33.207737,32.826849,29.079658,34.908517,20.667532,27.153306,35.432387,28.350691,20.003237
"ENSMUSG00000004018.9","Fancl",8.035206,8.87176,4.452916,12.99655,9.550179,7.989181,13.892147,8.203204,14.565815,12.025952,11.621618,13.419747,8.079986,9.358385
"ENSMUSG00000004031.13","Brinp2",0.040626,0.028976,0.611061,0.055516,0.357399,0.462955,0.056486,0.233888,0.422448,0,0.219074,1.495789,0,1.38615
"ENSMUSG00000004032.10","Gstm5",8.918363,8.479491,11.710781,17.513829,14.232738,16.423503,14.336068,7.670709,10.139803,11.941902,20.87656,8.102815,12.115007,12.687919
