"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_14A1","PVN_14A2","PVN_14A3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000073971.3","Olfr554",6,11,0,9,0,5,0.0913580694165579,3.93451959765669,0.937856858023492,1
"ENSMUSG00000073972.2","Olfr553",0,5,0,6,0,5,-0.169305577540055,1.40167987374532,0.938003793754175,1
"ENSMUSG00000073973.4","Olfr552",0,7,13,2,0,20,0.0375756557829798,2.4336610435216,0.938115480828084,1
"ENSMUSG00000073974.4","Olfr551",20,1,0,4,0,11,0.0396211965659701,4.73893981550902,0.938384865798069,1
"ENSMUSG00000073975.3","Olfr550",10,5,4,9,3,14,-0.056190317963274,3.96666852094133,0.938395549677648,1
"ENSMUSG00000073977.2","Olfr549",0,1,4,0,0,0,0.034305298375426,5.27779881310731,0.938461409004922,1
"ENSMUSG00000073978.8","Olfr548-ps1",0,2,0,1,0,1,-0.0900727508855638,2.89224925014217,0.938511850114505,1
"ENSMUSG00000073979.2","Olfr547",11,2,0,10,0,10,-0.0433804864282535,3.96107481557629,0.938547434954489,1
"ENSMUSG00000073982.11","Rhog",391,467,276,780,61,396,-0.0377823124457902,4.74935961766692,0.938585334562378,1
"ENSMUSG00000073987.4","Ggh",25,91,27,78,14,54,-0.244254782490622,1.31145253464519,0.93880439740221,1
"ENSMUSG00000073988.13","Ttpa",0,0,0,2,1,1,-0.108531116048362,3.94872910917558,0.938816305434445,1
"ENSMUSG00000073997.3","Olfr521",7,1,6,13,0,13,0.00419402697446224,4.77276909669069,0.938912596122972,1
"ENSMUSG00000074001.3","Klhl40",0,1,0,16,1,5,0.107740371485438,1.24807944855835,0.938930375413829,1
"ENSMUSG00000074003.4","Gucy2d",9,0,0,3,0,5,-0.115031855197742,2.8056176969331,0.938988279405131,1
"ENSMUSG00000074004.3","B3gnt6",6,1,4,0,0,1,-0.0245097920665792,6.60837375100482,0.939002077011395,1
"ENSMUSG00000074028.4","Slc22a13",0,2,0,9,0,1,0.0181156061961008,6.77155824937518,0.939182854306568,1
"ENSMUSG00000074030.3","Exoc8",132,74,27,73,6,43,-0.466584069703288,1.17419505226704,0.939220992126847,1
"ENSMUSG00000074037.3","Mc1r",7,7,0,12,0,9,-0.13420262691161,2.79754321473796,0.939230486959134,1
"ENSMUSG00000074061.4","Fbxw19",0,0,6,8,0,4,-0.0455995563619245,5.99235975450428,0.939374222739347,1
"ENSMUSG00000074063.10","Osgin1",12,65,31,103,3,31,-0.0722064444222755,4.01695874607354,0.939400306594048,1
"ENSMUSG00000074064.6","Mlycd",97,98,25,122,13,60,-0.126143315938732,1.61840747693094,0.93951342009562,1
"ENSMUSG00000074071.11","Fam169b",6,4,17,25,0,10,0.027987691119578,2.97018891337264,0.939591337775287,1
"ENSMUSG00000074088.6","Snrnp40",37,62,43,98,2,57,0.0404212208528244,5.31619847200464,0.939723718276894,1
"ENSMUSG00000074093.4","Svip",2,20,6,34,0,6,-0.0459667926481683,4.03565024255091,0.939892139011973,1
"ENSMUSG00000074102.4","Rbm15b",189,327,121,404,31,212,0.0271815741317679,4.00754945220618,0.939896065906539,1
"ENSMUSG00000074109.4","Mrgprx2",21,3,10,10,0,5,-0.0194512281715794,3.95768949214526,0.939919631790966,1
"ENSMUSG00000074111.4","Mrgpra9",7,0,0,6,0,1,0.327877534843862,1.58609835349822,0.939948116202144,1
"ENSMUSG00000074115.5","Saa1",0,5,5,13,4,11,0.380053333795266,1.58518362441842,0.939971295688039,1
"ENSMUSG00000074129.14","Rpl13a",657,1321.993,906,1785.995,164.999,1079.972,0.0281271136749203,7.15484578802153,0.939976953086648,1
"ENSMUSG00000074141.13","Il4i1",66,31,10,58,0,14,-0.0526397449726071,1.030026506796,0.94002819926133,1
"ENSMUSG00000074151.13","Nlrc5",35,53,28,199.001,21,28,0.274954882070175,1.57964829139332,0.94004244720653,1
"ENSMUSG00000074156.6","Ces1h",0,0,0,3,0,4,0.293085027320169,1.578660887298,0.940059460883666,1
"ENSMUSG00000074158.9","Zfp976",15,49,38,31.021,5,8,-0.0357016488441693,6.01401115985525,0.940088097233956,1
"ENSMUSG00000074165.10","Zfp788",32,38,36,47,5,24,0.413046742071418,1.57937448608066,0.940145130823504,1
"ENSMUSG00000074166.7","AW146154",61,45.604,44.517,42,0,49.31,0.0497507751991397,4.06710352553871,0.940366711119429,1
"ENSMUSG00000074170.5","Plekhf1",19,9,6,11,0,8,0.387794907644709,1.56790800947958,0.940393844205474,1
"ENSMUSG00000074182.8","Znhit6",16,31,9,37,0,17,-0.127248729149633,2.86680853639914,0.94043251782181,1
"ENSMUSG00000074194.4","Zfp791",1,8,20,34,0,18,-0.0234040731455726,8.30435173364065,0.940460282344046,1
"ENSMUSG00000074203.4","G430095P16Rik",16,3,0,3,0,4,0.0410578108238996,4.83417751102833,0.940484783809261,1
"ENSMUSG00000074206.7","Adh6b",0,3,0,8,0,3,0.331423352931561,1.5386652842589,0.940574428234009,1
"ENSMUSG00000074207.10","Adh1",0,0,0,13,0,5,0.0229276684792005,10.2843678001067,0.940668507173352,1
"ENSMUSG00000074210.3","E130208F15Rik",12,9,14,3,2,5,-0.0857836105144393,1.53688153000106,0.940675449093459,1
"ENSMUSG00000074211.4","Sdhaf1",22,19,10,12,2,15,0.430637165229842,1.53493116275445,0.940706450216474,1
"ENSMUSG00000074212.7","Dnajb14",191,275.999,116,200,23,183.999,-0.0543688299631183,1.54413046887239,0.940756057003972,1
"ENSMUSG00000074215.2","Gm10643",0,2,11,4,0,8,0.410117931099448,1.53051327995748,0.940790231699494,1
"ENSMUSG00000074217.8","Misp3",0,0,0,5,0,1,-0.0739001209393997,4.06190129954431,0.940806465074667,1
"ENSMUSG00000074218.3","Cox7a1",0,1,0,7,0,1,-0.161084541414184,1.51749592231888,0.940825298090347,1
"ENSMUSG00000074220.10","Zfp382",4,14,3,17,15,15,0.0205079865961076,8.16416126182753,0.940859884728552,1
"ENSMUSG00000074221.12","Zfp568",96,84.999,62,99,15,48,0.0793130350635105,2.84994766953718,0.940867054288092,1
"ENSMUSG00000074227.12","Spint2",6,38,11,21,0,18,0.0436606127966201,5.7383978567716,0.940892180486853,1
"ENSMUSG00000074238.6","Ap1ar",131,123,45,165,9,37,0.0157780404202153,5.75082057494025,0.941013595182355,1
"ENSMUSG00000074240.5","Cib3",5,1,0,3,0,1,0.387042861418757,1.51777002222805,0.941014143507792,1
"ENSMUSG00000074247.10","Dda1",126,162,89,215,19,152,-0.0529991970885175,5.36398959070102,0.941022572304215,1
"ENSMUSG00000074259.10","Gramd2",0,10,0,3,5,24,-0.222121630519651,2.71913908511746,0.941050922095599,1
"ENSMUSG00000074264.12","Amy1",18,5,0,2,4,12.747,-0.000325769779279873,5.74080433545709,0.941067191677627,1
