"","geneid_symbol","PVN_14A1","PVN_14A2","PVN_14A3","PVN_14L1","PVN_14L2_b1","PVN_14L3_b1","PVN_14L4","PVN_14L5","PVN_14L6","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","PVN_naive1","PVN_naive2","PVN_naive3"
"ENSMUSG00000022453.8","Naga",246.400975,233.827563,158.175338,249.974224,205.941644,177.762223,266.684271,231.138797,92.964894,133.307024,201.70123,246.844264,235.408202,291.055347,261.258112,194.625046,259.143049,352.12964
"ENSMUSG00000022454.17","Nell2",0.915034,0,1.153812,2.01345,0,0,0.383419,0,0,0,0.101134,0,0,0,0,0,0.164802,0.572769
"ENSMUSG00000022455.4","Wbp2nl",0,0,5.65273,4.954748,0,6.148215,2.765672,0,0,4.568123,3.260568,0.719296,0,1.149242,3.427599,0,1.220262,0
"ENSMUSG00000022456.18","Septin3",2.915393,0,1.554944,1.730385,0,5.481811,2.34086,3.444486,0.406191,0.431419,0.811523,0.025545,2.133424,0.764854,1.289097,6.024113,0.569286,0.706604
"ENSMUSG00000022462.7","Slc38a2",288.330793,346.298129,220.623035,239.397341,188.712762,151.552127,204.040573,300.946122,139.901166,215.881766,185.692877,295.752965,418.084478,397.087398,336.402327,166.192465,347.822256,216.065299
"ENSMUSG00000022463.8","Srebf2",50.165249,22.298162,15.98549,21.695504,10.944531,21.265018,17.342584,15.584988,53.375375,36.829724,29.839768,28.034868,23.107912,28.113877,27.579291,22.260451,23.679838,49.237003
"ENSMUSG00000022464.14","Slc38a4",0,0,0.37323,2.297568,0,2.256779,0.609102,0,0.261294,0,0.820775,0.197627,0,0,0,0,0,1.136183
"ENSMUSG00000022466.6","Rpap3",4.71107,48.31526,12.683194,7.76079,6.217487,9.616484,7.23966,0,4.093757,17.041554,7.806872,7.984156,17.488464,10.651627,4.94661,4.542368,4.553839,0
"ENSMUSG00000022468.12","Endou",0.849909,0,0.468662,0.227534,0,2.29306,3.578071,0,0,0,0.414578,0,0,0,0,0,0.224924,0
"ENSMUSG00000022469.17","Rapgef3",3.996958,0,1.983339,5.048344,0,1.661514,0.566623,1.582975,2.951732,0.878515,5.057422,0.383039,0,0,8.30483,0,3.667815,0
"ENSMUSG00000022471.14","Xrcc6",23.121637,121.619148,21.53545,13.744484,0.277838,31.387769,15.024431,24.227884,8.26085,22.942536,16.054683,24.386752,20.052401,28.305415,9.236438,9.83515,11.917046,35.867088
"ENSMUSG00000022472.16","Desi1",29.572813,28.884668,10.39487,11.769057,2.071536,40.504767,15.721026,21.254083,15.758646,8.903822,15.450898,17.188596,15.066384,18.647819,31.308849,10.890841,15.511971,10.507829
"ENSMUSG00000022474.15","Pmm1",5.327187,0,11.301422,19.646013,30.417399,4.472093,4.552303,31.852319,4.05924,16.263895,23.93382,11.098633,8.227262,11.691456,5.335852,7.050812,5.880575,26.056442
"ENSMUSG00000022475.19","Hdac7",12.507651,0,1.126907,3.901861,7.405291,1.79227,4.121027,4.335932,10.077292,9.931492,11.336699,10.208995,2.964928,16.29691,4.328076,0,2.441736,1.660027
"ENSMUSG00000022476.8","Polr3h",34.568381,4.780645,43.036983,24.747386,34.559027,22.752672,56.351221,51.841284,33.155716,42.620515,51.350607,39.552671,74.054436,24.265973,85.663883,33.960288,45.893459,55.591772
"ENSMUSG00000022477.13","Aco2",92.950534,94.54738,85.289104,69.352796,106.020012,62.661278,52.298043,68.782655,64.532686,120.062928,79.64407,85.64541,67.442394,119.280672,96.410835,132.164665,88.930524,47.575196
"ENSMUSG00000022479.15","Vdr",1.846876,3.594369,0.833626,3.982858,0,9.760859,1.632608,1.214414,0,1.66792,7.535166,0.029382,0,0.255073,0,0.34594,0,0
"ENSMUSG00000022483.17","Col2a1",9.864193,0,0.200357,4.103912,0,10.886023,0.81405,1.459832,0,0,0.617047,0,0.486103,0,0,0,0,0
"ENSMUSG00000022484.7","Hoxc10",3.07225,0,0.806975,0,0,0,1.316456,0,0,0,0.356713,0,0,0,0,0,0.28992,0
"ENSMUSG00000022485.3","Hoxc5",0.827407,0,0.509097,0.184632,0,1.948896,0.830734,0,0,0,0.112132,0,0,0.735057,0,0,0.730641,0
"ENSMUSG00000022487.14","Gtsf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022488.9","Nckap1l",291.157326,357.881925,335.310654,292.434587,297.97689,402.42424,235.158692,302.618549,239.127432,295.053528,395.201282,374.248603,373.59874,401.852259,398.649131,437.141124,426.128556,367.141803
"ENSMUSG00000022489.6","Pde1b",108.568912,127.154415,80.800511,85.026682,83.932797,99.832508,90.332935,119.997717,85.844488,81.072872,94.99405,127.859887,118.148464,119.350628,118.071297,90.351139,117.864376,71.204782
"ENSMUSG00000022490.7","Ppp1r1a",11.507942,50.10343,12.375969,6.335577,0,0,6.054528,15.921851,0,8.656688,3.298861,5.422285,16.690132,10.688755,10.006016,0,10.691557,3.040283
"ENSMUSG00000022491.5","Glycam1",2.588624,0,1.099441,4.455389,0,2.430352,2.391582,0,0.236865,0,1.942304,0.065589,0,0,0,0,1.444689,0
