"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","logFC","logCPM","PValue","FDR"
"ENSMUSG00000018012.11","Rac3",17,25,7,17,44,131,2.99141889084229,1.28018899257415,0.161428016069547,1
"ENSMUSG00000018040.9","Rrp7a",147,150,63,170.001,302.001,706.999,-3.26240099562879,1.26624334316203,0.161558916448813,1
"ENSMUSG00000018042.18","Cyb5r3",76,107,68,56,147,574,0.963812109038583,3.40993322771702,0.161649259861654,1
"ENSMUSG00000018068.13","Ints2",78,80,39,87,86.001,137.001,-0.399126229344928,5.92982537254027,0.161707918400722,1
"ENSMUSG00000018076.12","Med13l",678,863.999,354.001,650,1304,4025.999,-0.504009917384622,5.42483197194219,0.161845088805494,1
"ENSMUSG00000018102.5","H2bc4",19.481,38.811,15,23.63,48.702,166.502,0.414639967956501,6.23017468671597,0.161920164846053,1
"ENSMUSG00000018143.10","Mafk",292,511,152,581,587,2331,0.375049504955087,7.47200516656442,0.161937910613052,1
"ENSMUSG00000018160.15","Med1",294,331,202,260,556,964,-3.63482664240683,1.13976605939668,0.161948514137884,1
"ENSMUSG00000018166.8","Erbb3",0,1,0,0,4,1,-0.535027698646128,4.95751487159288,0.161984597771142,1
"ENSMUSG00000018167.10","Stard3",440,496.001,224,426.999,835,2179.001,2.6209345459803,1.52279359615487,0.16214988195804,1
"ENSMUSG00000018168.8","Ikzf3",10,6,14,73,26,23,-0.601900400329641,4.34853321020981,0.162400830149112,1
"ENSMUSG00000018169.12","Mfng",336,327,163,310,595,1648,0.434063746111182,5.94085925586694,0.162512185693322,1
"ENSMUSG00000018171.9","Vmp1",133,205,83,109,255,804,2.31540450452451,1.63143214431989,0.162535862180963,1
"ENSMUSG00000018189.12","Uchl5",31,44,22,60,75,177,5.59151213324476,-0.0582143769914869,0.162552009394551,1
"ENSMUSG00000018196.18","Glrx2",22,46,59,32.001,78,141,5.59151213324476,-0.0582143769914869,0.162552009394551,1
"ENSMUSG00000018199.9","Ro60",38,122,89,134,185,312,3.50785004473427,0.264714866607371,0.162567165664655,1
"ENSMUSG00000018209.15","Stk4",292,552,305,473,1091,2005,0.370838290455635,6.71759312681347,0.16259454888497,1
"ENSMUSG00000018217.12","Pmp22",528,779,369,673,1607,3601,1.0017133559706,3.51927667947122,0.162635648206389,1
"ENSMUSG00000018238.6","Gdf9",10,24,3,16,23,20,0.768829728240911,4.00080624154809,0.16267138262024,1
"ENSMUSG00000018239.9","Zcchc10",12,8,5,6,21,18,-5.55695967053589,-0.221240364042902,0.16276430702614,1
"ENSMUSG00000018286.6","Psmb6",45,118,89,229,231,581,-5.55695967053589,-0.221240364042902,0.16276430702614,1
"ENSMUSG00000018287.12","Spag7",40,116,71,69,116,264,0.555936628600798,4.61897726120644,0.162836055497016,1
"ENSMUSG00000018293.4","Pfn1",793.999,1274,790,2696,3317,5800.001,-0.405437890267096,5.98976106004263,0.162900517906189,1
"ENSMUSG00000018322.10","Tomm34",153,240,109,218.001,351,1545,-0.835000308994123,3.66660763581988,0.16294235907706,1
"ENSMUSG00000018326.9","Ywhab",349,484,338,414,845,1957,-2.41024769117689,1.56869779650749,0.163174522867808,1
"ENSMUSG00000018334.18","Ksr1",126,207.001,103,121,311.001,1038,0.611205376732637,4.42061590552427,0.163267866893362,1
"ENSMUSG00000018339.11","Gpx3",0,2,0,0,4,107,-0.513714674652513,4.91910022074933,0.163282617444821,1
"ENSMUSG00000018340.13","Anxa6",151,239,138,254,281,780,-0.567615230514155,4.9423945179245,0.163530501836958,1
"ENSMUSG00000018341.12","Il12rb2",17,14,8,19,27,10,-0.377272631406778,7.20191387465934,0.163637344980104,1
"ENSMUSG00000018347.16","Zkscan6",55,57,25,65,143,255,1.52264627514707,2.85605806544355,0.163677953235762,1
"ENSMUSG00000018362.14","Kpna2",52,97.84,65.364,145.512,191.706,391.76,0.389038881475091,7.03875444722996,0.16379508259034,1
"ENSMUSG00000018363.16","Smurf2",250,401,170,291,489,1428,-0.424368374444573,8.8617747463643,0.163804003888287,1
"ENSMUSG00000018372.13","Cep95",50,78.999,55,30,128,275.999,-0.431616253790107,5.64224573451668,0.163837585569831,1
"ENSMUSG00000018377.10","Vezf1",106,298,62,185,378,1259,4.1421770365383,0.645308662952279,0.163951108681202,1
"ENSMUSG00000018378.13","Cuedc1",4,4,0,0,13,32,-1.95335972070423,1.87821635259927,0.164110915828409,1
