avg,symbol
1.17116782997101e-17,Igfbp4
1.17104442836592e-17,Gdap2
1.17055352812109e-17,Thnsl1
1.16982259010494e-17,Ston1
1.16875608632056e-17,Rft1
1.16768227586218e-17,Zfp101
1.16512615774612e-17,Wdr78
1.1644708573366e-17,mt-Nd5
1.16412744365927e-17,Mapk1ip1l
1.16273308670696e-17,Csgalnact1
1.16242363553278e-17,Lmbrd2
1.1606240287918e-17,Etl4
1.15831599931931e-17,Acacb
1.15819658932316e-17,Id4
1.15642675051324e-17,Krt8
1.15577767430749e-17,Gm12166
1.15489613762197e-17,Aass
1.15414165587854e-17,Kdelr2
1.15361232794089e-17,Sugp1
1.14619415952232e-17,Cryga
1.14395019875598e-17,Prlr
1.14360380828554e-17,Far1
1.14338947918195e-17,Tmem140
1.14281576996528e-17,Acox2
1.14148649653496e-17,Endov
1.14018888535857e-17,Snx33
1.13941518976873e-17,Macrod1
1.13812157020129e-17,Slc25a30
1.13703020342903e-17,AW112010
1.13578837329618e-17,Atp6ap2
1.13577754859398e-17,Ppme1
1.13457384170919e-17,Safb2
1.13228116978294e-17,Zfp687
1.13073269613304e-17,Tmtc3
1.12966159185022e-17,Cyba
1.12951870578116e-17,Calb1
1.12666964416177e-17,Atf7ip
1.12639200746391e-17,Atp4a
1.12336486257971e-17,Dlg3
1.12133523091696e-17,Dnase1
1.11878655478365e-17,Brat1
1.11847913324114e-17,Snrnp35
1.11828699477706e-17,Srcin1
1.11559813875025e-17,Ehmt2
1.11462391555213e-17,PISD
1.11412963258786e-17,Tmsb15l
1.11188526589519e-17,Acat2
1.11032055519199e-17,Kri1
1.10341385395243e-17,Ccdc34
1.10150491771923e-17,Trappc13
1.09938706473353e-17,Slc16a7
1.09591017038647e-17,Ccdc57
1.0952804940767e-17,Cd200
1.09277765379178e-17,Coro1a
1.08886545419384e-17,Dalrd3
1.08524459130749e-17,Il13ra1
1.08129682241467e-17,Chd3
1.08010827011296e-17,2810474O19Rik
1.07995131193104e-17,Ankrd49
1.07946095292132e-17,Ap1m2
1.07683271522684e-17,Atxn1
1.07338829498637e-17,Cycs
1.07331576948162e-17,C030039L03Rik
1.07290984314907e-17,Slc5a12
1.07174101210169e-17,Ttll3
1.07136935271705e-17,Slc2a8
1.06765336776011e-17,Rps18
1.05978597420018e-17,Cited2
1.0539819041886e-17,Jchain
1.05242409423305e-17,Phf2
1.05024508167992e-17,E2f4
1.05023655722694e-17,Sgol1
1.04971791868272e-17,Tk2
1.03480472645994e-17,Bpnt1
1.02887278965361e-17,Hdac11
1.02729806610087e-17,Nmd3
1.02504301001478e-17,Bphl
1.02231789123559e-17,Zfp777
1.02051395461374e-17,Sptlc2
1.01524381303825e-17,Exoc3l4
1.01277104512913e-17,Coq6
1.01230287675892e-17,Ddx28
1.01118522625663e-17,Rpl23a
1.00970663959032e-17,Fbxo17
1.00948087689503e-17,Tti1
1.00923488553751e-17,Ptrf
1.00804065026715e-17,Rhebl1
1.00734949303159e-17,Pomc
1.00709024141387e-17,Nab1
1.00618096642896e-17,Gm8126
1.00484411570709e-17,Lmo4
1.00107684872347e-17,Ociad2
1.00089526434405e-17,Tmsb4x
9.99116224537257e-18,9430015G10Rik
9.9824104736428e-18,Cpq
9.95942151234271e-18,Tmem52
9.93385627191872e-18,A830009L08Rik
9.93254107060125e-18,Igfbp1
9.89053310753343e-18,Six5
9.8803078232165e-18,Zfp628
9.86953859761395e-18,Map3k7cl
9.84163522151446e-18,Pdhx
9.82669713247662e-18,Msh6
9.79237200179619e-18,Spa17
9.77353701996588e-18,Xrcc6bp1
9.76028758447144e-18,Nuak2
9.75591440478211e-18,Rdh16
9.75224483073585e-18,Zfp456
9.74474331211033e-18,Tbcd
9.71434754832899e-18,Ank3
9.69345485826458e-18,Gm12927
9.69305535909896e-18,Gm26909
9.68174354529857e-18,Gm10093
9.67834484251131e-18,Rnf144a
9.67035595858277e-18,Dand5
9.67033430917837e-18,Zfp3
9.64006302947234e-18,Atp6v1g3
9.5967046848049e-18,Ldha
9.54827496715614e-18,Sema4b
9.53499914645009e-18,Gm20498
9.48010640504324e-18,Uba3
9.47868295670377e-18,Exoc7
9.47659378917891e-18,Micall1
9.46308456083165e-18,Drap1
9.45628664784921e-18,Ak4
9.41715534939139e-18,Atxn7l2
9.41038991051556e-18,Tcn2
9.40275578928807e-18,Zfp691
9.38258125056033e-18,Tmem144
9.37033851237063e-18,Gm13075
9.3660356932456e-18,Rsad1
9.344927523953e-18,Dcaf12l1
9.34272537359891e-18,Apbb1
9.34216181254056e-18,Flad1
9.33868708313393e-18,Wfdc2
9.3149052123976e-18,Tcerg1
9.3108242996677e-18,Minpp1
9.2970444537654e-18,Zfp574
9.28831974379113e-18,Ccpg1
9.25679821098085e-18,Cklf
9.25585375571378e-18,Hps1
9.23494381378024e-18,Serpinc1
9.22975269253082e-18,Emx1
9.18195621996083e-18,4921539H07Rik
9.17513124522289e-18,Slc46a1
9.16881909075174e-18,Hivep3
9.1613676363739e-18,Litaf
9.15881300665438e-18,Dcakd
9.15367127310875e-18,Sppl3
9.12836311936203e-18,9530068E07Rik
9.12020941242888e-18,Gk5
9.11255973069197e-18,Mfng
9.08091844961359e-18,Per1
9.0761393435917e-18,Mrpl3
9.05388916821686e-18,Itgb8
9.0485363529783e-18,Srgn
9.03742208999308e-18,Ehbp1
9.0363098518419e-18,Myo15b
9.02426162001987e-18,Cct6b
9.01215114616018e-18,Plin5
8.99695123463785e-18,Ucp2
8.99406087001412e-18,Mylpf
8.96163902642544e-18,Csrnp2
8.92258553051469e-18,Gm20635
8.91718129794068e-18,Ptk2
8.90091447670762e-18,Apoo
8.87175272897723e-18,H2-D1
8.85906617799727e-18,Gm26737
8.85712855630323e-18,Pigr
8.84620643178209e-18,Irf1
8.79199767624559e-18,Tmem117
8.78654067324834e-18,Lig1
8.78480872089613e-18,Myo6
8.77365927762875e-18,Cd164
8.75969541178904e-18,B4galt1
8.71401246232386e-18,Leo1
8.69470389977223e-18,Sec62
8.69167027698031e-18,Mmab
8.65710576604466e-18,Gpc1
8.65016025021375e-18,Igsf3
8.64540989730708e-18,6030443J06Rik
8.62633508066861e-18,Stx16
8.60234754059046e-18,Slc25a25
8.60066971174925e-18,Ndufv1
8.59632900616652e-18,Ncoa4
8.59149307045807e-18,Gm853
8.57130229467704e-18,Nhsl2
8.49886609372127e-18,Gm29650
8.49245516384253e-18,Atp5d
8.48905620735131e-18,Ddit3
8.48852038459234e-18,4931414P19Rik
8.48614977481025e-18,Sh3d21
8.48302143587407e-18,Ccp110
8.43993370876166e-18,Actg1
8.43873013718565e-18,Phlda3
8.42655437684081e-18,Pcca
8.4256180401004e-18,Thoc3
8.42189028327981e-18,Lrrc52
8.39876466011444e-18,Fam3c
8.39306274822989e-18,Hnrnph1
8.3920540212935e-18,B930094E09Rik
8.37846834348694e-18,P3h1
8.36284559203487e-18,Smarcal1
8.34773430776181e-18,4732465J04Rik
8.34372916794731e-18,Pde5a
8.32850422430114e-18,Ppp1r1a
8.30879785394361e-18,Znrf3
8.3076544947736e-18,Spata17
8.30677904698306e-18,Rpl9-ps6
8.30347751281166e-18,Tmem52b
